146
most central:  Box_n50_0_1400
Box37_1400	 Prev: Box_n50_47_1400	 distance:1.73
Box_n50_22_1400	 Prev: Box_n50_47_1400	 distance:1.42
Box98_1400	 Prev: Box90_1400	 distance:1.69
Box49_1400	 Prev: Box47_1400	 distance:1.97
Box16_1400	 Prev: Box18_1400	 distance:1.47
Box71_1400	 Prev: Box18_1400	 distance:1.89
Box15_1400	 Prev: Box_n50_12_1400	 distance:2.09
Box25_1400	 Prev: Box62_1400	 distance:1.25
Box57_1400	 Prev: Box62_1400	 distance:1.64
Box24_1400	 Prev: Box67_1400	 distance:2.52
Box2_1400 	 Prev: Box40_1400	 distance:1.61
Box10_1400	 Prev: Box40_1400	 distance:2.39
Box_n50_3_1400	 Prev: Box_n50_7_1400	 distance:1.39
Box96_1400	 Prev: Box27_1400	 distance:2.48
Box51_1400	 Prev: Box26_1400	 distance:3.14
Box79_1400	 Prev: Box44_1400	 distance:1.83
Box54_1400	 Prev: Box34_1400	 distance:2.80
Box83_1400	 Prev: Box34_1400	 distance:2.00
Box68_1400	 Prev: Box_n50_40_1400	 distance:1.86
Box_n50_48_1400	 Prev: Box_n50_40_1400	 distance:1.52
Box60_1400	 Prev: Box14_1400	 distance:2.00
Box39_1400	 Prev: Box37_1400	 distance:1.72
Box_n50_2_1400	 Prev: Box_n50_22_1400	 distance:1.13
Box89_1400	 Prev: Box98_1400	 distance:1.60
Box59_1400	 Prev: Box49_1400	 distance:1.93
Box50_1400	 Prev: Box71_1400	 distance:2.32
Box86_1400	 Prev: Box71_1400	 distance:1.78
Box19_1400	 Prev: Box25_1400	 distance:1.54
Box41_1400	 Prev: Box25_1400	 distance:1.96
Box76_1400	 Prev: Box25_1400	 distance:2.03
Box36_1400	 Prev: Box57_1400	 distance:1.55
Box95_1400	 Prev: Box57_1400	 distance:1.38
Box11_1400	 Prev: Box2_1400 	 distance:0.99
Box_n50_23_1400	 Prev: Box_n50_3_1400	 distance:1.80
Box22_1400	 Prev: Box54_1400	 distance:3.42
Box74_1400	 Prev: Box39_1400	 distance:2.31
Box84_1400	 Prev: Box50_1400	 distance:1.39
Box70_1400	 Prev: Box41_1400	 distance:1.44
Box13_1400	 Prev: Box95_1400	 distance:1.51
Box23_1400	 Prev: Box_n50_23_1400	 distance:1.75
Box85_1400	 Prev: Box70_1400	 distance:2.37
Box46_1400	 Prev: Box23_1400	 distance:2.30
Box12_1400	 Prev: Box85_1400	 distance:2.46
Box21_1400	 Prev: Box85_1400	 distance:1.99
Box58_1400	 Prev: Box46_1400	 distance:2.00
Box81_1400	 Prev: Box46_1400	 distance:2.49
240.75130578226685
Running fit for Box_n50_4_1400
scripts/fit-iter-handler-Box_n50_4_1400.sh
Submitted batch job 22052296
Running fit for Box_n50_14_1400
scripts/fit-iter-handler-Box_n50_14_1400.sh
Submitted batch job 22052298
Running fit for Box_n50_21_1400
scripts/fit-iter-handler-Box_n50_21_1400.sh
Submitted batch job 22052300
Running fit for Box_n50_33_1400
scripts/fit-iter-handler-Box_n50_33_1400.sh
Submitted batch job 22052303
Running fit for Box_n50_35_1400
scripts/fit-iter-handler-Box_n50_35_1400.sh
Submitted batch job 22052308
Running fit for Box_n50_43_1400
scripts/fit-iter-handler-Box_n50_43_1400.sh
Submitted batch job 22052311
Running fit for Box_n50_36_1400
scripts/fit-iter-handler-Box_n50_36_1400.sh
Submitted batch job 22053142
Running fit for Box_n50_6_1400
scripts/fit-iter-handler-Box_n50_6_1400.sh
Submitted batch job 22053145
Running fit for Box_n50_32_1400
scripts/fit-iter-handler-Box_n50_32_1400.sh
Submitted batch job 22053146
Running fit for Box_n50_44_1400
scripts/fit-iter-handler-Box_n50_44_1400.sh
Submitted batch job 22053147
Running fit for Box_n50_17_1400
scripts/fit-iter-handler-Box_n50_17_1400.sh
Submitted batch job 22053183
Running fit for Box_n50_34_1400
scripts/fit-iter-handler-Box_n50_34_1400.sh
Submitted batch job 22053186
Running fit for Box_n50_1_1400
scripts/fit-iter-handler-Box_n50_1_1400.sh
Submitted batch job 22053187
Running fit for Box_n50_26_1400
scripts/fit-iter-handler-Box_n50_26_1400.sh
Submitted batch job 22053188
Running fit for Box_n50_19_1400
scripts/fit-iter-handler-Box_n50_19_1400.sh
Submitted batch job 22053258
Running fit for Box_n50_37_1400
scripts/fit-iter-handler-Box_n50_37_1400.sh
Submitted batch job 22053259
Running fit for Box_n50_46_1400
scripts/fit-iter-handler-Box_n50_46_1400.sh
Submitted batch job 22053260
Running fit for Box3_1400
scripts/fit-iter-handler-Box3_1400.sh
Submitted batch job 22053265
Running fit for Box_n50_20_1400
scripts/fit-iter-handler-Box_n50_20_1400.sh
Submitted batch job 22053267
Running fit for Box_n50_31_1400
scripts/fit-iter-handler-Box_n50_31_1400.sh
Submitted batch job 22054115
Running fit for Box_n50_13_1400
scripts/fit-iter-handler-Box_n50_13_1400.sh
Submitted batch job 22054122
Running fit for Box_n50_39_1400
scripts/fit-iter-handler-Box_n50_39_1400.sh
Submitted batch job 22054123
Running fit for Box_n50_5_1400
scripts/fit-iter-handler-Box_n50_5_1400.sh
Submitted batch job 22054157
Running fit for Box4_1400
scripts/fit-iter-handler-Box4_1400.sh
Submitted batch job 22054254
Running fit for Box45_1400
scripts/fit-iter-handler-Box45_1400.sh
Submitted batch job 22054255
Running fit for Box_n50_15_1400
scripts/fit-iter-handler-Box_n50_15_1400.sh
Submitted batch job 22054257
Running fit for Box_n50_45_1400
scripts/fit-iter-handler-Box_n50_45_1400.sh
Submitted batch job 22054258
Running fit for Box_n50_49_1400
scripts/fit-iter-handler-Box_n50_49_1400.sh
Submitted batch job 22054260
Running fit for Box97_1400
scripts/fit-iter-handler-Box97_1400.sh
Submitted batch job 22054262
Running fit for Box_n50_18_1400
scripts/fit-iter-handler-Box_n50_18_1400.sh
Submitted batch job 22054263
Running fit for Box91_1400
scripts/fit-iter-handler-Box91_1400.sh
Submitted batch job 22054264
